mean_energy	error	        alpha	         beta	         gamma	        acceptance	stepsize
1505.673192,	8.485382,	2.280900,	-1.787960,	-0.109970,	48.658333,	1.000000
1424.208185,	8.442263,	2.280900,	-1.787960,	-0.097970,	51.110417,	1.000000
1333.472981,	8.334335,	2.280900,	-1.787960,	-0.085970,	52.518750,	1.000000
1199.612240,	8.268558,	2.280900,	-1.787960,	-0.073970,	53.979167,	1.000000
1005.427485,	7.944436,	2.280900,	-1.787960,	-0.061970,	43.864583,	1.500000
789.368787,	7.403011,	2.280900,	-1.787960,	-0.049970,	40.370833,	2.000000
497.933226,	6.117308,	2.280900,	-1.787960,	-0.037970,	51.025000,	2.000000
225.288207,	4.130693,	2.280900,	-1.787960,	-0.025970,	64.860417,	2.000000
51.344759,	1.740371,	2.280900,	-1.787960,	-0.013970,	77.620833,	2.000000
1440.642286,	7.515410,	2.280900,	-1.437960,	-0.133970,	49.268750,	1.000000
1382.983013,	7.522420,	2.280900,	-1.437960,	-0.121970,	49.441667,	1.000000
1330.567154,	7.513538,	2.280900,	-1.437960,	-0.109970,	51.566667,	1.000000
1259.767108,	7.450091,	2.280900,	-1.437960,	-0.097970,	52.210417,	1.000000
1185.023618,	7.443602,	2.280900,	-1.437960,	-0.085970,	52.912500,	1.000000
1096.667898,	7.307547,	2.280900,	-1.437960,	-0.073970,	41.068750,	1.500000
939.901281,	7.100098,	2.280900,	-1.437960,	-0.061970,	42.712500,	1.500000
794.853829,	6.898024,	2.280900,	-1.437960,	-0.049970,	48.872917,	1.500000
578.022397,	6.114631,	2.280900,	-1.437960,	-0.037970,	45.222917,	2.000000
288.041255,	4.500081,	2.280900,	-1.437960,	-0.025970,	61.945833,	2.000000
82.943081,	2.342294,	2.280900,	-1.437960,	-0.013970,	78.241667,	2.000000
1146.460126,	6.471783,	2.280900,	-1.087960,	-0.133970,	53.127083,	1.000000
1113.436423,	6.412075,	2.280900,	-1.087960,	-0.121970,	53.106250,	1.000000
1081.460967,	6.407587,	2.280900,	-1.087960,	-0.109970,	54.497917,	1.000000
1012.625081,	6.326543,	2.280900,	-1.087960,	-0.097970,	55.543750,	1.000000
969.302024,	6.216303,	2.280900,	-1.087960,	-0.085970,	56.102083,	1.000000
913.094619,	6.226301,	2.280900,	-1.087960,	-0.073970,	42.027083,	1.500000
837.146315,	6.097320,	2.280900,	-1.087960,	-0.061970,	43.791667,	1.500000
729.696227,	5.900941,	2.280900,	-1.087960,	-0.049970,	47.027083,	1.500000
557.421969,	5.434924,	2.280900,	-1.087960,	-0.037970,	43.168750,	2.000000
332.796840,	4.431525,	2.280900,	-1.087960,	-0.025970,	54.106250,	2.000000
94.562729,	2.391025,	2.280900,	-1.087960,	-0.013970,	74.229167,	2.000000
799.385375,	5.098350,	2.280900,	-0.737960,	-0.133970,	41.785417,	1.500000
769.260527,	5.082915,	2.280900,	-0.737960,	-0.121970,	42.954167,	1.500000
749.488631,	5.071846,	2.280900,	-0.737960,	-0.109970,	43.079167,	1.500000
697.948809,	4.978124,	2.280900,	-0.737960,	-0.097970,	44.010417,	1.500000
672.223627,	4.947638,	2.280900,	-0.737960,	-0.085970,	45.225000,	1.500000
641.584354,	4.854863,	2.280900,	-0.737960,	-0.073970,	46.166667,	1.500000
590.335841,	4.761350,	2.280900,	-0.737960,	-0.061970,	48.135417,	1.500000
520.259594,	4.598322,	2.280900,	-0.737960,	-0.049970,	49.141667,	1.500000
449.371492,	4.416223,	2.280900,	-0.737960,	-0.037970,	41.158333,	2.000000
313.760152,	3.881205,	2.280900,	-0.737960,	-0.025970,	49.256250,	2.000000
124.728706,	2.578711,	2.280900,	-0.737960,	-0.013970,	69.483333,	2.000000
377.171646,	3.437738,	2.280900,	-0.387960,	-0.133970,	51.641667,	1.500000
360.167305,	3.386397,	2.280900,	-0.387960,	-0.121970,	40.241667,	2.000000
340.879945,	3.349254,	2.280900,	-0.387960,	-0.109970,	40.945833,	2.000000
316.955886,	3.258723,	2.280900,	-0.387960,	-0.097970,	41.247917,	2.000000
296.349684,	3.175149,	2.280900,	-0.387960,	-0.085970,	41.893750,	2.000000
272.763569,	3.077169,	2.280900,	-0.387960,	-0.073970,	42.537500,	2.000000
256.831352,	3.041716,	2.280900,	-0.387960,	-0.061970,	44.235417,	2.000000
228.415039,	2.897997,	2.280900,	-0.387960,	-0.049970,	45.533333,	2.000000
196.245009,	2.788176,	2.280900,	-0.387960,	-0.037970,	47.962500,	2.000000
159.220126,	2.599941,	2.280900,	-0.387960,	-0.025970,	50.943750,	2.000000
98.781062,	2.146138,	2.280900,	-0.387960,	-0.013970,	60.443750,	2.000000
-5.809403,	0.876810,	2.280900,	-0.037960,	-0.133970,	70.502083,	2.000000
-5.848030,	0.859295,	2.280900,	-0.037960,	-0.121970,	70.437500,	2.000000
-5.589105,	0.844345,	2.280900,	-0.037960,	-0.109970,	70.789583,	2.000000
-5.427158,	0.840056,	2.280900,	-0.037960,	-0.097970,	71.135417,	2.000000
-6.115799,	0.796827,	2.280900,	-0.037960,	-0.085970,	71.647917,	2.000000
-5.879260,	0.781457,	2.280900,	-0.037960,	-0.073970,	71.641667,	2.000000
-6.169106,	0.752248,	2.280900,	-0.037960,	-0.061970,	72.562500,	2.000000
-5.816730,	0.704132,	2.280900,	-0.037960,	-0.049970,	73.687500,	2.000000
-5.620042,	0.668532,	2.280900,	-0.037960,	-0.037970,	74.756250,	2.000000
-5.561388,	0.614848,	2.280900,	-0.037960,	-0.025970,	75.906250,	2.000000
-4.272036,	0.561968,	2.280900,	-0.037960,	-0.013970,	77.943750,	2.000000
