mean_energy	error	        alpha	         beta	         gamma	        acceptance	stepsize
154.676727,	1.995797,	-2.219100,	-1.087960,	-0.061970,	60.514583,	2.000000
109.887095,	1.657917,	-2.219100,	-1.087960,	-0.049970,	64.893750,	2.000000
74.166883,	1.304874,	-2.219100,	-1.087960,	-0.037970,	69.452083,	2.000000
45.018554,	0.992981,	-2.219100,	-1.087960,	-0.025970,	74.858333,	2.000000
17.647632,	0.537790,	-2.219100,	-1.087960,	-0.013970,	78.431250,	2.500000
744.271341,	5.209457,	-2.219100,	-0.737960,	-0.133970,	46.641667,	1.500000
633.472749,	4.720843,	-2.219100,	-0.737960,	-0.121970,	41.675000,	2.000000
504.075725,	3.396134,	-2.219100,	-0.737960,	-0.109970,	44.895833,	2.000000
397.003669,	2.793062,	-2.219100,	-0.737960,	-0.097970,	47.991667,	2.000000
343.803347,	2.678981,	-2.219100,	-0.737960,	-0.085970,	51.666667,	2.000000
267.501514,	2.310036,	-2.219100,	-0.737960,	-0.073970,	54.495833,	2.000000
195.770291,	1.760575,	-2.219100,	-0.737960,	-0.061970,	58.602083,	2.000000
147.366239,	1.542532,	-2.219100,	-0.737960,	-0.049970,	63.208333,	2.000000
102.993228,	1.295392,	-2.219100,	-0.737960,	-0.037970,	67.731250,	2.000000
63.617342,	1.068241,	-2.219100,	-0.737960,	-0.025970,	74.027083,	2.000000
28.385833,	0.649845,	-2.219100,	-0.737960,	-0.013970,	77.752083,	2.500000
1372.380289,	5.673034,	-2.219100,	-0.387960,	-0.133970,	53.635417,	1.000000
1323.962702,	5.767462,	-2.219100,	-0.387960,	-0.121970,	55.329167,	1.000000
1258.762429,	6.016641,	-2.219100,	-0.387960,	-0.109970,	36.487500,	1.500000
993.298390,	5.762079,	-2.219100,	-0.387960,	-0.097970,	46.952083,	1.500000
611.971327,	4.269866,	-2.219100,	-0.387960,	-0.085970,	40.858333,	2.000000
612.185747,	4.743289,	-2.219100,	-0.387960,	-0.073970,	45.935417,	2.000000
317.379117,	2.734773,	-2.219100,	-0.387960,	-0.061970,	52.377083,	2.000000
207.436772,	1.611850,	-2.219100,	-0.387960,	-0.049970,	57.808333,	2.000000
145.016120,	1.320440,	-2.219100,	-0.387960,	-0.037970,	64.262500,	2.000000
81.445540,	0.935700,	-2.219100,	-0.387960,	-0.025970,	70.352083,	2.000000
33.846911,	0.516672,	-2.219100,	-0.387960,	-0.013970,	75.647917,	2.500000
2.133400,	0.442133,	-2.219100,	-0.037960,	-0.133970,	78.750000,	2.000000
0.821378,	0.430849,	-2.219100,	-0.037960,	-0.121970,	79.206250,	2.000000
0.135471,	0.442164,	-2.219100,	-0.037960,	-0.109970,	79.616667,	2.000000
